QuestionId,Title,Link,Tags,Content,Time,Votes,Answers,Views,Accepted,Detailed,Definitive
73800970,"Kubernetes 1.24+ fails with flannel giving ""cni plugin not initialized"" [closed]",https://stackoverflow.com/questions/73800970/kubernetes-1-24-fails-with-flannel-giving-cni-plugin-not-initialized,"['kubernetes', 'flannel', 'cni']",I'm doing a single node kubernetes installation (so control-plane (or master pre-1.24) taint removed) on Ubuntu 20.04. For versions of kubernetes after 1.23 the network wont initialize. Everything ...,2022-09-21 12:45:23Z,0,1,314,True,False,False
73800870,kube-state-metrics not sending metrics to prometheus,https://stackoverflow.com/questions/73800870/kube-state-metrics-not-sending-metrics-to-prometheus,"['kubernetes', 'prometheus', 'grafana']","We are using prometheus-stack helm-chart 30.2.0 which includes kube-state-metrics. If I portforward prometheus-kube-state-metrics pod, I am able to access the /metric endpoint and I see all the ...",2022-09-21 12:38:11Z,0,0,243,False,False,False
73800021,Java Spring Active profile in kubernetes Cluster,https://stackoverflow.com/questions/73800021/java-spring-active-profile-in-kubernetes-cluster,"['java', 'spring', 'spring-boot', 'maven', 'kubernetes']","i want to start Java spring app with active profile...
I build Docker image in Gitlab CI/CD using maven wrapper ,
./mvnw compile jib:build -Dimage=image/sms-service:1

after that i deploy app in k8s......",2022-09-21 11:32:43Z,1,2,1k,False,False,False
73799973,Why removing finalizers with kubectl patch does no work for PVC in Terminating Status,https://stackoverflow.com/questions/73799973/why-removing-finalizers-with-kubectl-patch-does-no-work-for-pvc-in-terminating-s,"['kubernetes', 'kubectl', 'patch']","Trying to automate removing .metadata.finalizers when it's needed:
  kubectl -n ${ns} patch pvc $pvcname -p '{""metadata"":{""finalizers"":[]}}' --type=merge

Checking again with get ...",2022-09-21 11:28:00Z,0,0,614,False,False,False
73799606,GKE metadata server pod issues with new nodes during autoscaling,https://stackoverflow.com/questions/73799606/gke-metadata-server-pod-issues-with-new-nodes-during-autoscaling,"['kubernetes', 'google-cloud-platform', 'google-kubernetes-engine', 'workload-identity']",We have an issue with gke workload identity.We enabled workload identity for our prod clusters.when enable workload identity it creates daemon set.whenever you application required service account key ...,2022-09-21 10:57:50Z,1,0,131,False,False,False
73799512,"Rancher, While connecting the node in rancher for Kubernetes it says",https://stackoverflow.com/questions/73799512/rancher-while-connecting-the-node-in-rancher-for-kubernetes-it-says,"['docker', 'kubernetes', 'azure-devops', 'devops', 'rancher']","While connecting the node in rancher for Kubernetes it says:-
Add at least one host
Waiting for a host to be active
Creating Kubernetes system stack
Starting services (2 of 12)
Waiting for Kubernetes ...",2022-09-21 10:51:24Z,0,0,85,False,False,False
73798755,Kubernetes adding insecure-registries,https://stackoverflow.com/questions/73798755/kubernetes-adding-insecure-registries,"['docker', 'kubernetes', 'deployment', 'yaml']","I have my docker-compose deployment that needs to pull the image from an insecure registry, so I will have to add to update the file /etc/docker/daemon.json and add the following entry to make it work....",2022-09-21 09:54:12Z,0,1,149,False,False,False
73797405,How can i set local volume using mongodb charts in k8s?,https://stackoverflow.com/questions/73797405/how-can-i-set-local-volume-using-mongodb-charts-in-k8s,"['mongodb', 'kubernetes', 'kubernetes-helm', 'helm3']","I want deploy a mongodb chart using helm on my local dev environment.
I found all the possibile values on bitnami, but is overwhelming!
How can i configure something like that:
template:
metadata:
  ...",2022-09-21 08:12:45Z,0,2,555,True,False,False
73796615,What would need to be done to access Kubernetes secret from another namespace via an environment variable [duplicate],https://stackoverflow.com/questions/73796615/what-would-need-to-be-done-to-access-kubernetes-secret-from-another-namespace-vi,"['kubernetes', 'kubernetes-secrets']","I saw many answers and many articles on the internet saying it's not possible to access the secrets of other namespaces.
However, the answer provided in another question How allow pod from default ...",2022-09-21 07:06:06Z,0,1,576,True,False,False
73795761,Get public key for new cert from k3s,https://stackoverflow.com/questions/73795761/get-public-key-for-new-cert-from-k3s,"['kubernetes', 'rancher', 'k3s']","So I got locked out of my Kubernetes instance, presumably due to a cert expiration. It was created with k3sup, by someone with a lot more Kubernetes experience than me.
To dig into the issue, I used ...",2022-09-21 05:29:48Z,0,1,176,False,False,False
